"REF_DATE","GEO","DGUID","Time arriving at work (16)","Main mode of commuting (21)","Commuting duration (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kelowna (CMA) 915, B.C.","2021S0503915","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1412.1.2.7","17.1","","","","1"
"2021","Kelowna (CMA) 915, B.C.","2021S0503915","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1412.1.11.7","18.2","","","","1"
"2021","Kelowna (CMA) 915, B.C.","2021S0503915","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1412.1.12.7","30.1","","","","1"
"2021","Kingston (CMA) 521, Ont.","2021S0503521","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1465.1.1.7","20.0","","","","1"
"2021","Kingston (CMA) 521, Ont.","2021S0503521","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1465.1.2.7","20.3","","","","1"
"2021","Kingston (CMA) 521, Ont.","2021S0503521","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1465.1.11.7","19.3","","","","1"
"2021","Kingston (CMA) 521, Ont.","2021S0503521","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1465.1.12.7","28.5","","","","1"
"2021","Kitchener - Cambridge - Waterloo (CMA) 541, Ont.","2021S0503541","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1506.1.1.7","20.3","","","","1"
"2021","Kitchener - Cambridge - Waterloo (CMA) 541, Ont.","2021S0503541","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1506.1.2.7","20.0","","","","1"
"2021","Kitchener - Cambridge - Waterloo (CMA) 541, Ont.","2021S0503541","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1506.1.11.7","25.8","","","","1"
"2021","Kitchener - Cambridge - Waterloo (CMA) 541, Ont.","2021S0503541","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1506.1.12.7","37.7","","","","1"
"2021","Lethbridge (CMA) 810, Alta.","2021S0503810","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1626.1.1.7","14.9","","","","1"
"2021","Lethbridge (CMA) 810, Alta.","2021S0503810","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1626.1.2.7","14.6","","","","1"
"2021","Lethbridge (CMA) 810, Alta.","2021S0503810","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1626.1.11.7","20.0","","","","1"
"2021","Lethbridge (CMA) 810, Alta.","2021S0503810","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1626.1.12.7","37.8","","","","1"
"2021","London (CMA) 555, Ont.","2021S0503555","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1661.1.1.7","19.4","","","","1"
"2021","London (CMA) 555, Ont.","2021S0503555","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1661.1.2.7","19.0","","","","1"
"2021","London (CMA) 555, Ont.","2021S0503555","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1661.1.11.7","23.6","","","","1"
"2021","London (CMA) 555, Ont.","2021S0503555","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1661.1.12.7","33.8","","","","1"
"2021","Medicine Hat(CA) 805, Alta.","2021S0504805","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1771.1.1.7","14.5","","","","1"
"2021","Medicine Hat(CA) 805, Alta.","2021S0504805","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1771.1.2.7","14.4","","","","1"
"2021","Medicine Hat(CA) 805, Alta.","2021S0504805","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1771.1.11.7","17.3","","","","1"
"2021","Medicine Hat(CA) 805, Alta.","2021S0504805","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1771.1.12.7","31.3","","","","1"
"2021","Moncton (CMA) 305, N.B.","2021S0503305","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1792.1.1.7","16.8","","","","1"
"2021","Moncton (CMA) 305, N.B.","2021S0503305","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1792.1.2.7","16.8","","","","1"
"2021","Moncton (CMA) 305, N.B.","2021S0503305","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1792.1.11.7","19.1","","","","1"
"2021","Moncton (CMA) 305, N.B.","2021S0503305","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1792.1.12.7","32.2","","","","1"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1829.1.1.7","26.5","","","","1"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1829.1.2.7","24.4","","","","1"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1829.1.11.7","33.8","","","","1"
"2021","Montréal (CMA) 462, Que.","2021S0503462","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1829.1.12.7","43.1","","","","1"
"2021","Nanaimo (CMA) 938, B.C.","2021S0503938","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","2834.1.1.7","16.4","","","","1"
"2021","Nanaimo (CMA) 938, B.C.","2021S0503938","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","2834.1.2.7","16.1","","","","1"
"2021","Nanaimo (CMA) 938, B.C.","2021S0503938","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","2834.1.11.7","19.6","","","","1"
"2021","Nanaimo (CMA) 938, B.C.","2021S0503938","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","2834.1.12.7","29.5","","","","1"
"2021","North Bay(CA) 575, Ont.","2021S0504575","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","2858.1.1.7","16.8","","","","1"
"2021","North Bay(CA) 575, Ont.","2021S0504575","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","2858.1.2.7","16.7","","","","1"
"2021","North Bay(CA) 575, Ont.","2021S0504575","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","2858.1.11.7","17.2","","","","1"
"2021","North Bay(CA) 575, Ont.","2021S0504575","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","2858.1.12.7","28.6","","","","1"
"2021","Oshawa (CMA) 532, Ont.","2021S0503532","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","2883.1.1.7","21.1","","","","1"
"2021","Oshawa (CMA) 532, Ont.","2021S0503532","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","2883.1.2.7","21.2","","","","1"
"2021","Oshawa (CMA) 532, Ont.","2021S0503532","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","2883.1.11.7","25.4","","","","1"
"2021","Oshawa (CMA) 532, Ont.","2021S0503532","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","2883.1.12.7","41.1","","","","1"
"2021","Ottawa - Gatineau (CMA) 505, Ont./Que.","2021S0503505","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","2976.1.1.7","23.5","","","","1"
"2021","Ottawa - Gatineau (CMA) 505, Ont./Que.","2021S0503505","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","2976.1.2.7","22.4","","","","1"
